"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2020","545","545","550","535","56.42M","0.00%"
"Jan 06, 2020","545","560","565","545","76.88M","-3.54%"
"Jan 03, 2020","565","575","575","555","84.20M","-0.88%"
"Jan 02, 2020","570","575","575","565","12.29M","0.00%"
"Dec 30, 2019","570","570","575","565","20.02M","-0.87%"
"Dec 27, 2019","575","575","580","570","12.29M","0.00%"
"Dec 26, 2019","575","570","580","565","41.90M","1.77%"
"Dec 23, 2019","565","570","570","560","28.80M","-0.88%"
"Dec 20, 2019","570","575","575","560","46.13M","-0.87%"
"Dec 19, 2019","575","585","585","570","21.91M","-1.71%"
"Dec 18, 2019","585","565","585","560","72.12M","4.46%"
"Dec 17, 2019","560","570","570","560","32.60M","-1.75%"
"Dec 16, 2019","570","575","575","560","28.45M","0.00%"
"Dec 13, 2019","570","575","585","565","37.78M","0.00%"
"Dec 12, 2019","570","590","590","570","36.16M","-2.56%"
"Dec 11, 2019","585","595","595","580","23.56M","-1.68%"
"Dec 10, 2019","595","590","600","585","35.75M","1.71%"
"Dec 09, 2019","585","570","600","565","54.94M","3.54%"
"Dec 06, 2019","565","560","570","560","33.84M","0.89%"
"Dec 05, 2019","560","565","570","560","26.92M","-0.88%"
"Dec 04, 2019","565","580","580","565","21.94M","-3.42%"
"Dec 03, 2019","585","580","590","575","16.26M","0.86%"
"Dec 02, 2019","580","565","580","565","18.08M","2.65%"
"Nov 29, 2019","565","555","570","555","27.27M","0.89%"
"Nov 28, 2019","560","560","565","555","21.05M","-0.88%"
"Nov 27, 2019","565","560","570","550","27.43M","0.89%"
"Nov 26, 2019","560","560","570","555","56.96M","0.00%"
"Nov 25, 2019","560","575","575","560","40.19M","-2.61%"
"Nov 22, 2019","575","590","590","570","17.47M","-1.71%"
"Nov 21, 2019","585","605","610","585","21.34M","-3.31%"
"Nov 20, 2019","605","595","610","590","54.84M","1.68%"
"Nov 19, 2019","595","595","595","580","12.43M","0.85%"
"Nov 18, 2019","590","590","590","580","16.61M","0.85%"
"Nov 15, 2019","585","565","585","565","25.41M","3.54%"
"Nov 14, 2019","565","585","590","565","45.41M","-2.59%"
"Nov 13, 2019","580","585","595","580","28.02M","-0.85%"
"Nov 12, 2019","585","570","585","565","38.00M","2.63%"
"Nov 11, 2019","570","580","580","560","36.44M","-1.72%"
"Nov 08, 2019","580","585","590","570","56.86M","0.00%"
"Nov 07, 2019","580","590","595","570","71.78M","-2.52%"
"Nov 06, 2019","595","610","610","590","47.14M","-2.46%"
"Nov 05, 2019","610","615","615","595","35.11M","0.83%"
"Nov 04, 2019","605","620","625","605","15.77M","-2.42%"
"Nov 01, 2019","620","625","625","615","6.30M","-0.80%"
"Oct 31, 2019","625","645","650","610","40.40M","-0.79%"
"Oct 30, 2019","630","630","650","620","65.28M","0.80%"
"Oct 29, 2019","625","600","625","590","100.87M","4.17%"
"Oct 28, 2019","600","610","615","590","54.73M","-1.64%"
"Oct 25, 2019","610","635","640","605","38.49M","-3.94%"
"Oct 24, 2019","635","620","635","620","66.01M","3.25%"
"Oct 23, 2019","615","610","620","605","16.83M","0.82%"
"Oct 22, 2019","610","615","615","600","22.20M","0.00%"
"Oct 21, 2019","610","615","625","600","27.75M","0.00%"
"Oct 18, 2019","610","620","635","610","45.62M","-1.61%"
"Oct 17, 2019","620","615","625","610","21.06M","0.00%"
"Oct 16, 2019","620","620","625","615","15.70M","0.81%"
"Oct 15, 2019","615","625","630","615","31.83M","-3.15%"
"Oct 14, 2019","635","645","650","610","20.89M","0.79%"
"Oct 11, 2019","630","640","640","620","11.97M","-1.56%"
"Oct 10, 2019","640","610","640","595","40.59M","6.67%"
"Oct 09, 2019","600","600","605","590","19.40M","-1.64%"
"Oct 08, 2019","610","585","610","585","28.48M","5.17%"
"Oct 07, 2019","580","595","600","570","29.58M","-3.33%"
"Oct 04, 2019","600","605","620","595","34.61M","-0.83%"
"Oct 03, 2019","605","610","615","600","40.28M","-1.63%"
"Oct 02, 2019","615","640","640","615","26.59M","-3.15%"
"Oct 01, 2019","635","660","660","630","33.20M","-4.51%"
"Sep 30, 2019","665","645","665","640","8.76M","3.10%"
"Sep 27, 2019","645","670","670","645","16.69M","-2.27%"
"Sep 26, 2019","660","665","665","650","8.35M","0.76%"
"Sep 25, 2019","655","650","660","635","13.23M","0.77%"
"Sep 24, 2019","650","670","670","650","41.25M","-3.70%"
"Sep 23, 2019","675","675","680","660","13.98M","0.00%"
"Sep 20, 2019","675","680","685","665","43.07M","0.00%"
"Sep 19, 2019","675","680","685","670","43.97M","0.00%"
"Sep 18, 2019","675","680","690","670","36.07M","-0.74%"
"Sep 17, 2019","680","665","680","665","13.88M","1.49%"
"Sep 16, 2019","670","680","680","660","27.53M","-1.47%"
"Sep 13, 2019","680","675","685","665","42.79M","0.74%"
"Sep 12, 2019","675","690","695","670","26.00M","-2.17%"
"Sep 11, 2019","690","660","695","650","79.20M","5.34%"
"Sep 10, 2019","655","640","655","635","46.24M","3.15%"
"Sep 09, 2019","635","630","645","625","20.09M","0.79%"
"Sep 06, 2019","630","635","635","625","15.07M","0.00%"
"Sep 05, 2019","630","635","640","625","20.21M","-0.79%"
"Sep 04, 2019","635","625","640","615","28.16M","2.42%"
"Sep 03, 2019","620","625","635","610","27.13M","0.00%"
"Sep 02, 2019","620","640","645","615","40.27M","-3.13%"
"Aug 30, 2019","640","640","640","625","33.80M","1.59%"
"Aug 29, 2019","630","630","635","625","45.28M","0.80%"
"Aug 28, 2019","625","640","645","620","39.26M","-2.34%"
"Aug 27, 2019","640","650","655","635","57.39M","-0.78%"
"Aug 26, 2019","645","660","665","625","84.67M","-3.73%"
"Aug 23, 2019","670","685","690","665","30.53M","-2.19%"
"Aug 22, 2019","685","675","685","660","35.05M","2.24%"
"Aug 21, 2019","670","675","680","665","25.85M","-1.47%"
"Aug 20, 2019","680","690","695","675","21.62M","-1.45%"
"Aug 19, 2019","690","695","695","680","19.80M","0.73%"
"Aug 16, 2019","685","690","690","680","21.08M","-1.44%"
"Aug 15, 2019","695","690","695","680","20.54M","0.00%"
"Aug 14, 2019","695","695","700","690","13.95M","0.72%"
"Aug 13, 2019","690","685","690","675","27.76M","0.00%"
"Aug 12, 2019","690","700","705","685","16.59M","-2.13%"
"Aug 09, 2019","705","710","715","700","29.78M","-0.70%"
"Aug 08, 2019","710","710","715","700","37.50M","1.43%"
"Aug 07, 2019","700","695","715","680","68.00M","2.19%"
"Aug 06, 2019","685","670","700","655","68.42M","0.74%"
"Aug 05, 2019","680","700","700","680","47.54M","-2.86%"
"Aug 02, 2019","700","700","710","690","47.94M","-1.41%"
"Aug 01, 2019","710","735","735","705","74.88M","-3.40%"
"Jul 31, 2019","735","740","750","725","76.21M","0.00%"
"Jul 30, 2019","735","710","740","710","112.86M","4.26%"
"Jul 29, 2019","705","675","710","670","78.09M","5.22%"
"Jul 26, 2019","670","680","685","670","38.19M","-1.47%"
"Jul 25, 2019","680","675","685","670","52.99M","1.49%"
"Jul 24, 2019","670","685","695","670","76.28M","-2.19%"
"Jul 23, 2019","685","700","700","675","61.87M","-2.14%"
"Jul 22, 2019","700","705","705","685","26.11M","0.00%"
"Jul 19, 2019","700","710","720","695","40.21M","-1.41%"
"Jul 18, 2019","710","710","720","700","43.57M","0.71%"
"Jul 17, 2019","705","725","730","700","41.14M","-2.76%"
"Jul 16, 2019","725","725","730","720","39.71M","0.00%"
"Jul 15, 2019","725","725","735","720","43.34M","0.69%"
"Jul 12, 2019","720","735","740","720","24.68M","-2.70%"
