"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2019","19.022","18.968","18.968","18.968","1.02K","0.86%"
"Aug 27, 2019","18.860","18.806","18.806","18.806","1.22K","2.80%"
"Aug 26, 2019","18.347","18.293","18.293","18.293","0.19K","3.00%"
"Aug 25, 2019","17.812","17.552","17.863","17.552","-","-1.62%"
"Aug 23, 2019","18.105","18.051","18.051","18.051","0.38K","2.10%"
"Aug 22, 2019","17.733","17.679","17.679","17.679","0.53K","-0.61%"
"Aug 21, 2019","17.842","17.788","17.788","17.788","0.29K","0.03%"
"Aug 20, 2019","17.836","17.782","17.782","17.782","0.30K","1.19%"
"Aug 19, 2019","17.626","17.572","17.572","17.572","0.41K","3.28%"
"Aug 18, 2019","17.067","17.108","17.122","17.060","-","-4.17%"
"Aug 16, 2019","17.809","17.755","17.755","17.755","0.46K","-0.49%"
"Aug 15, 2019","17.896","17.842","17.842","17.842","0.56K","-0.38%"
"Aug 14, 2019","17.965","17.911","17.911","17.911","0.44K","1.67%"
"Aug 13, 2019","17.670","17.616","17.616","17.616","0.25K","-0.43%"
"Aug 12, 2019","17.747","17.693","17.693","17.693","0.05K","4.41%"
"Aug 11, 2019","16.997","16.968","17.003","16.942","-","-3.48%"
"Aug 09, 2019","17.610","17.556","17.556","17.556","0.29K","-0.02%"
"Aug 08, 2019","17.614","17.560","17.560","17.560","0.76K","-1.47%"
"Aug 07, 2019","17.877","17.823","17.823","17.823","0.38K","4.36%"
"Aug 06, 2019","17.130","17.076","17.076","17.076","0.29K","0.32%"
"Aug 05, 2019","17.076","17.022","17.022","17.022","0.16K","5.39%"
"Aug 04, 2019","16.203","16.218","16.245","16.203","-","-4.50%"
"Aug 02, 2019","16.966","16.912","16.912","16.912","0.21K","0.48%"
"Aug 01, 2019","16.885","16.890","16.910","16.890","0.00K","-1.30%"
"Jul 31, 2019","17.107","17.053","17.053","17.053","0.10K","-0.92%"
"Jul 30, 2019","17.265","17.211","17.211","17.211","0.01K","0.69%"
"Jul 29, 2019","17.146","17.092","17.092","17.092","0.04K","4.54%"
"Jul 28, 2019","16.402","16.427","16.453","16.402","-","-4.08%"
"Jul 26, 2019","17.100","17.046","17.046","17.046","0.22K","-0.05%"
"Jul 25, 2019","17.109","17.055","17.055","17.055","0.30K","-1.25%"
"Jul 24, 2019","17.325","17.271","17.271","17.271","0.14K","0.90%"
"Jul 23, 2019","17.171","17.117","17.117","17.117","0.38K","0.39%"
"Jul 22, 2019","17.104","17.050","17.050","17.050","0.29K","5.37%"
"Jul 21, 2019","16.233","16.230","16.290","16.212","-","-3.87%"
"Jul 19, 2019","16.886","16.832","16.832","16.832","0.51K","-0.02%"
"Jul 18, 2019","16.890","16.836","16.836","16.836","0.47K","1.34%"
"Jul 17, 2019","16.667","16.613","16.613","16.613","0.05K","1.76%"
"Jul 16, 2019","16.378","16.324","16.324","16.324","0.23K","2.02%"
"Jul 15, 2019","16.054","16.000","16.000","16.000","0.11K","5.26%"
"Jul 14, 2019","15.252","15.248","15.277","15.227","-","-4.26%"
"Jul 12, 2019","15.930","15.876","15.876","15.876","0.12K","0.56%"
"Jul 11, 2019","15.841","15.787","15.787","15.787","0.00K","-0.51%"
"Jul 10, 2019","15.922","15.868","15.868","15.868","0.27K","0.47%"
"Jul 09, 2019","15.847","15.793","15.793","15.793","0.01K","0.62%"
"Jul 08, 2019","15.749","15.695","15.695","15.695","0.15K","5.01%"
"Jul 07, 2019","14.998","15.018","15.055","14.982","-","-4.47%"
"Jul 05, 2019","15.699","15.645","15.645","15.645","0.22K","2.27%"
"Jul 04, 2019","15.350","15.342","15.370","15.252","-","-4.15%"
"Jul 03, 2019","16.015","15.961","15.961","15.961","0.32K","0.62%"
"Jul 02, 2019","15.916","15.862","15.862","15.862","0.55K","0.33%"
"Jul 01, 2019","15.863","15.809","15.809","15.809","0.15K","4.14%"
"Jun 30, 2019","15.232","15.350","15.350","15.160","-","-4.78%"
"Jun 28, 2019","15.996","15.942","15.942","15.942","0.60K","0.30%"
"Jun 27, 2019","15.948","15.894","15.894","15.894","0.04K","-0.50%"
"Jun 26, 2019","16.028","15.655","15.655","15.655","0.00K","-0.07%"
"Jun 25, 2019","16.040","15.790","15.790","15.790","0.15K","-0.39%"
