"Date","Price","Open","High","Low","Change %"
"Apr 05, 2018","16.395","16.331","16.465","16.215","0.44%"
"Apr 04, 2018","16.323","16.436","16.576","16.276","-0.58%"
"Apr 03, 2018","16.418","16.608","16.661","16.385","-1.30%"
"Apr 02, 2018","16.635","16.365","16.704","16.365","1.65%"
"Mar 29, 2018","16.365","16.306","16.410","16.246","0.34%"
"Mar 28, 2018","16.310","16.581","16.616","16.280","-1.34%"
"Mar 27, 2018","16.531","16.725","16.849","16.495","-1.02%"
"Mar 26, 2018","16.701","16.615","16.834","16.555","0.81%"
"Mar 23, 2018","16.566","16.405","16.712","16.395","1.02%"
"Mar 22, 2018","16.398","16.587","16.645","16.367","-1.03%"
"Mar 21, 2018","16.568","16.204","16.698","16.204","2.27%"
"Mar 20, 2018","16.200","16.317","16.363","16.114","-0.83%"
"Mar 19, 2018","16.335","16.360","16.389","16.233","-0.07%"
"Mar 16, 2018","16.346","16.409","16.541","16.246","-0.30%"
"Mar 15, 2018","16.395","16.533","16.599","16.375","-0.87%"
"Mar 14, 2018","16.539","16.611","16.695","16.531","-0.28%"
"Mar 13, 2018","16.585","16.544","16.710","16.477","0.30%"
"Mar 12, 2018","16.535","16.642","16.657","16.465","-0.39%"
"Mar 09, 2018","16.599","16.498","16.692","16.363","0.62%"
"Mar 08, 2018","16.497","16.501","16.570","16.413","-0.02%"
"Mar 07, 2018","16.500","16.759","16.837","16.413","-1.52%"
"Mar 06, 2018","16.755","16.456","16.887","16.387","1.95%"
"Mar 05, 2018","16.434","16.524","16.604","16.343","-0.46%"
"Mar 02, 2018","16.510","16.485","16.597","16.390","0.24%"
"Mar 01, 2018","16.470","16.409","16.552","16.163","0.37%"
"Feb 28, 2018","16.409","16.424","16.513","16.334","-0.09%"
"Feb 27, 2018","16.423","16.661","16.700","16.323","-1.43%"
