"Date","Close","Open","High","Low","Change %"
"2021-Feb-25","1769.88","1804.80","1806.06","1765.44","-1.91%"
"2021-Feb-24","1804.36","1805.34","1813.99","1783.30","-0.04%"
"2021-Feb-23","1805.06","1809.09","1816.27","1795.78","-0.20%"
"2021-Feb-22","1808.66","1782.24","1812.76","1780.46","1.48%"
"2021-Feb-19","1782.31","1776.19","1791.70","1760.13","0.38%"
"2021-Feb-18","1775.49","1776.69","1789.88","1767.98","-0.04%"
"2021-Feb-17","1776.26","1794.65","1795.45","1769.27","-1.01%"
"2021-Feb-16","1794.31","1819.34","1826.75","1789.19","-1.33%"
"2021-Feb-15","1818.51","1825.34","1827.59","1815.71","-0.27%"
"2021-Feb-12","1823.46","1825.90","1830.80","1810.33","-0.10%"
"2021-Feb-11","1825.36","1842.65","1847.95","1820.63","-0.91%"
"2021-Feb-10","1842.22","1837.55","1855.70","1833.91","0.28%"
"2021-Feb-09","1837.06","1830.59","1849.15","1828.63","0.38%"
"2021-Feb-08","1830.16","1815.44","1839.15","1807.48","1.02%"
"2021-Feb-05","1811.62","1792.49","1815.32","1791.80","1.08%"
"2021-Feb-04","1792.26","1834.34","1835.13","1785.15","-2.26%"
"2021-Feb-03","1833.76","1837.49","1845.29","1829.49","-0.20%"
"2021-Feb-02","1837.35","1860.84","1864.26","1829.46","-1.23%"
"2021-Feb-01","1860.16","1863.05","1871.84","1849.04","0.76%"
"2021-Jan-29","1846.09","1840.90","1876.03","1839.56","0.31%"
"2021-Jan-28","1840.36","1844.34","1864.26","1833.81","-0.20%"
"2021-Jan-27","1843.99","1850.65","1853.58","1831.29","-0.34%"
"2021-Jan-26","1850.31","1855.55","1861.86","1848.36","-0.25%"
"2021-Jan-25","1854.99","1855.75","1868.45","1847.30","0.13%"
"2021-Jan-22","1852.55","1870.09","1871.17","1837.09","-0.93%"
"2021-Jan-21","1869.91","1871.07","1875.45","1858.16","-0.05%"
"2021-Jan-20","1870.91","1840.05","1872.03","1832.46","1.72%"
"2021-Jan-19","1839.34","1838.09","1845.98","1833.06","0.13%"
"2021-Jan-18","1836.89","1828.94","1840.95","1810.46","0.56%"
"2021-Jan-15","1826.59","1846.80","1856.85","1823.21","-1.07%"
"2021-Jan-14","1846.37","1843.94","1857.59","1833.21","0.16%"
"2021-Jan-13","1843.41","1856.19","1863.26","1843.34","-0.66%"
"2021-Jan-12","1855.63","1845.34","1864.08","1837.41","0.59%"
"2021-Jan-11","1844.66","1849.34","1857.05","1817.14","-0.19%"
"2021-Jan-08","1848.26","1912.90","1917.85","1828.74","-3.36%"
"2021-Jan-07","1912.50","1919.40","1927.97","1906.86","-0.33%"
"2021-Jan-06","1918.81","1950.30","1959.60","1901.11","-1.57%"
"2021-Jan-05","1949.35","1942.65","1953.17","1934.08","0.36%"
"2021-Jan-04","1942.28","1906.05","1944.65","1905.36","2.33%"
"2021-Jan-01","1898.10","1897.69","1899.12","1897.39","0.09%"
"2020-Dec-31","1896.49","1893.55","1901.26","1884.77","0.16%"
"2020-Dec-30","1893.37","1878.34","1894.06","1875.66","0.82%"
"2020-Dec-29","1877.99","1872.24","1886.91","1870.99","0.36%"
"2020-Dec-28","1871.19","1885.93","1900.53","1869.21","-0.25%"
"2020-Dec-25","1875.82","1877.07","1877.07","1877.07","-0.04%"
"2020-Dec-24","1876.56","1872.74","1882.55","1869.52","0.24%"
"2020-Dec-23","1872.08","1859.99","1878.59","1858.59","0.67%"
"2020-Dec-22","1859.56","1876.65","1884.61","1858.73","-0.89%"
"2020-Dec-21","1876.21","1883.20","1906.93","1856.69","-0.24%"
"2020-Dec-18","1880.66","1885.80","1889.88","1876.97","-0.28%"
"2020-Dec-17","1885.87","1864.26","1896.26","1861.83","1.17%"
"2020-Dec-16","1864.15","1853.94","1866.20","1844.75","0.58%"
"2020-Dec-15","1853.46","1827.80","1855.76","1825.29","1.44%"
"2020-Dec-14","1827.17","1839.30","1839.86","1819.92","-0.64%"
"2020-Dec-11","1839.03","1835.55","1847.89","1824.23","0.20%"
"2020-Dec-10","1835.31","1839.59","1850.40","1828.48","-0.21%"
"2020-Dec-09","1839.11","1871.19","1871.37","1825.71","-1.72%"
"2020-Dec-08","1871.36","1863.55","1875.79","1859.83","0.41%"
"2020-Dec-07","1863.69","1837.99","1868.76","1822.99","1.42%"
"2020-Dec-04","1837.61","1841.05","1848.26","1829.30","-0.15%"
"2020-Dec-03","1840.36","1831.34","1844.45","1823.60","0.51%"
"2020-Dec-02","1831.01","1815.19","1832.65","1806.99","0.89%"
"2020-Dec-01","1814.87","1777.40","1817.55","1775.52","2.13%"
"2020-Nov-30","1777.02","1789.05","1789.99","1764.69","-0.62%"
"2020-Nov-27","1788.13","1811.09","1813.81","1773.93","-1.24%"
"2020-Nov-26","1810.57","1805.74","1818.78","1805.31","0.29%"
"2020-Nov-25","1805.30","1807.69","1817.98","1801.33","-0.12%"
"2020-Nov-24","1807.51","1836.65","1839.26","1800.69","-1.54%"
"2020-Nov-23","1835.85","1869.84","1876.72","1830.85","-1.85%"
"2020-Nov-20","1870.49","1867.59","1879.98","1860.66","0.17%"
"2020-Nov-19","1867.37","1871.44","1874.34","1852.48","-0.22%"
"2020-Nov-18","1871.41","1878.60","1884.92","1863.94","-0.38%"
"2020-Nov-17","1878.60","1889.15","1893.90","1877.69","-0.52%"
"2020-Nov-16","1888.52","1888.74","1899.35","1864.74","0.03%"
"2020-Nov-13","1888.04","1876.44","1897.16","1873.76","0.65%"
"2020-Nov-12","1875.76","1865.30","1883.88","1862.46","0.59%"
"2020-Nov-11","1864.71","1877.34","1884.93","1856.05","-0.63%"
"2020-Nov-10","1876.50","1862.15","1890.60","1860.30","0.79%"
"2020-Nov-09","1861.86","1954.65","1965.92","1850.36","-4.59%"
"2020-Nov-06","1951.51","1949.24","1960.77","1935.40","0.15%"
"2020-Nov-05","1948.56","1903.65","1952.95","1902.43","2.38%"
